,job
346,blue-collar
347,management
348,management
349,blue-collar
350,services
351,unemployed
352,blue-collar
353,admin.
354,management
355,blue-collar
356,blue-collar
357,technician
358,admin.
359,blue-collar
360,admin.
361,blue-collar
362,technician
363,technician
364,services
365,services
366,technician
367,blue-collar
368,blue-collar
369,technician
370,technician
371,blue-collar
372,services
373,entrepreneur
374,technician
375,self-employed
376,unemployed
377,self-employed
378,technician
379,admin.
380,blue-collar
381,blue-collar
382,technician
383,blue-collar
384,management
385,entrepreneur
386,entrepreneur
387,self-employed
388,technician
389,blue-collar
390,blue-collar
391,entrepreneur
392,management
393,services
394,blue-collar
395,technician
396,blue-collar
397,admin.
398,technician
399,blue-collar
400,unemployed
401,blue-collar
402,admin.
403,blue-collar
404,services
405,blue-collar
406,admin.
407,services
408,management
409,technician
410,management
411,blue-collar
412,management
413,blue-collar
414,unemployed
415,blue-collar
416,blue-collar
417,blue-collar
418,entrepreneur
419,admin.
420,admin.
421,blue-collar
422,blue-collar
423,services
424,services
425,admin.
426,management
427,technician
428,blue-collar
429,blue-collar
430,management
431,student
432,blue-collar
433,blue-collar
434,retired
435,management
436,management
437,management
438,admin.
439,technician
440,admin.
441,entrepreneur
442,technician
443,entrepreneur
444,technician
445,admin.
446,admin.
447,services
448,technician
449,technician
450,management
451,services
452,management
453,entrepreneur
454,blue-collar
455,services
456,retired
457,entrepreneur
458,management
459,blue-collar
460,entrepreneur
461,student
462,entrepreneur
463,management
464,blue-collar
465,blue-collar
466,management
467,technician
468,management
469,blue-collar
470,blue-collar
471,technician
472,unemployed
473,blue-collar
474,blue-collar
475,blue-collar
476,blue-collar
477,admin.
478,blue-collar
479,services
480,student
481,management
482,housemaid
483,blue-collar
484,technician
485,blue-collar
486,services
487,management
488,services
489,self-employed
490,blue-collar
491,admin.
492,technician
493,housemaid
494,blue-collar
495,management
496,services
497,blue-collar
498,entrepreneur
499,housemaid
500,services
501,technician
502,blue-collar
503,blue-collar
504,self-employed
505,blue-collar
506,admin.
507,admin.
508,admin.
509,entrepreneur
510,blue-collar
511,admin.
512,blue-collar
513,entrepreneur
514,management
515,services
516,retired
517,technician
518,management
519,management
520,technician
521,retired
522,unemployed
523,services
524,housemaid
525,blue-collar
526,admin.
527,technician
528,management
529,services
530,management
531,management
532,management
533,management
534,technician
535,technician
536,technician
537,management
538,blue-collar
539,services
540,blue-collar
541,admin.
542,admin.
543,management
544,management
545,blue-collar
546,technician
547,services
548,management
549,blue-collar
550,technician
551,entrepreneur
552,technician
553,admin.
554,admin.
555,admin.
556,self-employed
557,services
558,technician
559,entrepreneur
560,services
561,blue-collar
562,entrepreneur
563,entrepreneur
564,management
565,admin.
566,blue-collar
567,management
568,student
569,admin.
570,blue-collar
571,services
572,technician
573,services
574,unemployed
575,retired
576,technician
577,technician
578,blue-collar
579,blue-collar
580,technician
581,services
582,blue-collar
583,retired
584,housemaid
585,technician
586,unemployed
587,management
588,blue-collar
589,management
590,blue-collar
591,retired
592,management
593,blue-collar
594,technician
595,technician
596,management
597,management
598,self-employed
599,housemaid
600,housemaid
601,technician
602,technician
603,services
604,self-employed
605,blue-collar
606,retired
607,technician
608,admin.
609,management
610,services
611,blue-collar
612,technician
613,retired
614,unemployed
615,admin.
616,blue-collar
617,admin.
618,housemaid
619,blue-collar
620,services
621,management
622,unemployed
623,entrepreneur
624,management
625,unemployed
626,retired
627,services
628,management
629,blue-collar
630,entrepreneur
631,housemaid
632,technician
633,management
634,retired
635,entrepreneur
636,management
637,housemaid
638,admin.
639,technician
640,unemployed
641,self-employed
642,blue-collar
643,blue-collar
644,technician
645,unemployed
646,entrepreneur
647,housemaid
648,services
649,blue-collar
650,blue-collar
651,technician
652,management
653,admin.
654,unemployed
655,services
656,technician
657,housemaid
658,management
659,retired
660,technician
661,management
662,retired
663,technician
664,technician
665,blue-collar
666,retired
667,housemaid
668,unknown
669,management
670,retired
671,technician
672,management
673,blue-collar
674,technician
675,services
676,technician
677,technician
678,technician
679,technician
680,technician
681,retired
682,retired
683,admin.
684,management
685,admin.
686,management
687,services
688,management
689,management
690,management
691,technician
692,technician
693,management
694,technician
695,technician
696,technician
697,self-employed
698,blue-collar
699,admin.
700,blue-collar
701,management
702,technician
703,admin.
704,technician
705,blue-collar
706,management
707,management
708,technician
709,self-employed
710,technician
711,technician
712,management
713,technician
714,technician
715,technician
716,services
717,management
718,management
719,management
720,technician
721,management
722,management
723,services
724,services
725,technician
726,management
727,management
728,technician
729,management
730,management
731,blue-collar
732,management
733,management
734,management
735,housemaid
736,management
737,management
738,management
739,management
740,management
741,management
742,technician
743,blue-collar
744,management
745,blue-collar
746,unemployed
747,retired
748,management
749,blue-collar
750,unemployed
751,management
752,technician
753,management
754,technician
755,blue-collar
756,blue-collar
757,unemployed
758,blue-collar
759,management
760,management
761,management
762,management
763,management
764,technician
765,technician
766,technician
767,management
768,technician
769,retired
770,technician
771,technician
772,management
773,management
774,technician
775,self-employed
776,retired
777,technician
778,management
779,management
780,management
781,services
782,management
783,technician
784,technician
785,admin.
786,management
787,management
788,technician
789,retired
790,technician
791,entrepreneur
792,management
793,housemaid
794,services
795,technician
796,management
797,blue-collar
798,management
799,technician
800,technician
801,management
802,blue-collar
803,management
804,technician
805,blue-collar
806,management
807,technician
808,management
809,management
810,blue-collar
811,management
812,technician
813,management
814,retired
815,technician
816,technician
817,management
818,management
819,self-employed
820,management
821,management
822,admin.
823,self-employed
824,technician
825,management
826,technician
827,admin.
828,technician
829,technician
830,admin.
831,technician
832,technician
833,technician
834,management
835,services
836,services
837,admin.
838,blue-collar
839,self-employed
840,management
841,management
842,self-employed
843,technician
844,management
845,blue-collar
846,management
847,entrepreneur
848,admin.
849,unemployed
850,retired
851,technician
852,management
853,housemaid
854,blue-collar
855,blue-collar
856,management
857,management
858,blue-collar
859,technician
860,retired
861,unknown
862,admin.
863,technician
864,self-employed
865,technician
866,management
867,retired
868,services
869,management
870,technician
871,management
872,management
873,technician
874,management
875,technician
876,blue-collar
877,admin.
878,management
879,technician
880,management
881,technician
882,self-employed
883,self-employed
884,admin.
885,technician
886,management
887,technician
888,blue-collar
889,admin.
890,admin.
891,services
892,admin.
893,blue-collar
894,student
895,technician
896,self-employed
897,admin.
898,entrepreneur
899,technician
900,technician
901,admin.
902,management
903,admin.
904,admin.
905,entrepreneur
906,management
907,admin.
908,management
909,technician
910,management
911,management
912,management
913,technician
914,retired
915,housemaid
916,blue-collar
917,admin.
918,blue-collar
919,retired
920,management
921,technician
922,management
923,services
924,retired
925,management
926,management
927,technician
928,blue-collar
929,admin.
930,management
931,management
932,self-employed
933,admin.
934,blue-collar
935,housemaid
936,blue-collar
937,entrepreneur
938,student
939,unemployed
940,blue-collar
941,blue-collar
942,management
943,technician
944,management
945,technician
946,blue-collar
947,blue-collar
948,unemployed
949,retired
950,management
951,retired
952,technician
953,entrepreneur
954,technician
955,blue-collar
956,admin.
957,technician
958,entrepreneur
959,management
960,technician
961,management
962,management
963,management
964,management
965,management
966,technician
967,entrepreneur
968,management
969,management
970,self-employed
971,admin.
972,entrepreneur
973,management
974,management
975,services
976,self-employed
977,management
978,management
979,retired
980,services
981,unemployed
982,technician
983,blue-collar
984,blue-collar
985,unemployed
986,self-employed
987,blue-collar
988,technician
989,entrepreneur
990,technician
991,admin.
992,self-employed
993,management
994,management
995,blue-collar
996,technician
997,blue-collar
998,blue-collar
999,services
1000,services
1001,technician
1002,self-employed
1003,technician
1004,self-employed
1005,management
1006,services
1007,technician
1008,blue-collar
1009,services
1010,entrepreneur
1011,services
1012,technician
1013,unemployed
1014,services
1015,self-employed
1016,blue-collar
1017,blue-collar
1018,technician
1019,management
1020,blue-collar
1021,admin.
1022,management
1023,management
1024,entrepreneur
1025,technician
1026,services
1027,technician
1028,retired
1029,admin.
1030,blue-collar
1031,entrepreneur
1032,blue-collar
1033,blue-collar
1034,blue-collar
1035,unemployed
1036,technician
1037,blue-collar
1038,services
1039,blue-collar
1040,management
1041,admin.
1042,blue-collar
1043,technician
1044,admin.
1045,self-employed
1046,management
1047,management
1048,management
1049,housemaid
1050,admin.
1051,admin.
1052,services
1053,management
1054,technician
1055,blue-collar
1056,blue-collar
1057,blue-collar
1058,management
1059,services
1060,admin.
1061,admin.
1062,management
1063,management
1064,unemployed
1065,technician
1066,management
1067,technician
1068,entrepreneur
1069,technician
1070,student
1071,student
1072,management
1073,management
1074,unemployed
1075,unknown
1076,management
1077,management
1078,services
1079,admin.
1080,technician
1081,management
1082,blue-collar
1083,management
1084,services
1085,admin.
1086,management
1087,unemployed
1088,management
1089,unemployed
1090,technician
1091,unknown
1092,unknown
1093,technician
1094,unemployed
1095,services
1096,admin.
1097,blue-collar
1098,blue-collar
1099,unemployed
1100,technician
1101,blue-collar
1102,management
1103,services
1104,unemployed
1105,technician
1106,management
1107,technician
1108,services
1109,admin.
1110,entrepreneur
1111,admin.
1112,unemployed
1113,services
1114,technician
1115,unemployed
1116,technician
1117,technician
1118,management
1119,unemployed
1120,unemployed
1121,unemployed
1122,student
1123,retired
1124,management
1125,admin.
1126,admin.
1127,management
1128,services
1129,management
1130,management
1131,management
1132,self-employed
1133,admin.
1134,services
1135,blue-collar
1136,student
1137,technician
1138,management
1139,technician
1140,admin.
1141,admin.
1142,retired
1143,management
1144,technician
1145,technician
1146,management
1147,blue-collar
1148,technician
1149,retired
1150,unemployed
1151,management
1152,entrepreneur
1153,management
1154,self-employed
1155,management
1156,technician
1157,management
1158,unemployed
1159,admin.
1160,self-employed
1161,management
1162,retired
1163,admin.
1164,management
1165,self-employed
1166,admin.
1167,unemployed
1168,retired
1169,self-employed
1170,blue-collar
1171,management
1172,blue-collar
1173,services
1174,unemployed
1175,admin.
1176,blue-collar
1177,technician
1178,admin.
1179,technician
1180,management
1181,management
1182,management
1183,technician
1184,entrepreneur
1185,entrepreneur
1186,unemployed
1187,technician
1188,services
1189,management
1190,technician
1191,entrepreneur
1192,unemployed
1193,technician
1194,entrepreneur
1195,management
1196,management
1197,services
1198,management
1199,technician
1200,technician
1201,management
1202,management
1203,blue-collar
1204,management
1205,services
1206,retired
1207,blue-collar
1208,student
1209,management
1210,services
1211,technician
1212,self-employed
1213,blue-collar
1214,retired
1215,admin.
1216,admin.
1217,technician
1218,technician
1219,services
1220,admin.
1221,blue-collar
1222,technician
1223,management
1224,retired
1225,technician
1226,blue-collar
1227,management
1228,management
1229,retired
1230,services
1231,technician
1232,management
1233,student
1234,admin.
1235,management
1236,retired
1237,retired
1238,admin.
1239,technician
1240,technician
1241,management
1242,management
1243,retired
1244,admin.
1245,retired
1246,management
1247,retired
1248,admin.
1249,entrepreneur
1250,admin.
1251,technician
1252,services
1253,self-employed
1254,blue-collar
1255,management
1256,technician
1257,student
1258,retired
1259,retired
1260,technician
1261,admin.
1262,retired
1263,services
1264,retired
1265,retired
1266,management
1267,retired
1268,management
1269,entrepreneur
1270,technician
1271,student
1272,blue-collar
1273,unemployed
1274,retired
1275,technician
1276,technician
1277,management
1278,admin.
1279,management
1280,technician
1281,retired
1282,housemaid
1283,admin.
1284,unemployed
1285,management
1286,management
1287,technician
1288,admin.
1289,management
1290,technician
1291,retired
1292,management
1293,technician
1294,unemployed
1295,technician
1296,blue-collar
1297,services
1298,services
1299,technician
1300,technician
1301,management
1302,management
1303,technician
1304,admin.
1305,management
1306,admin.
1307,technician
1308,blue-collar
1309,unknown
1310,self-employed
1311,technician
1312,management
1313,management
1314,management
1315,retired
1316,management
1317,student
1318,retired
1319,management
1320,retired
1321,self-employed
1322,management
1323,student
1324,technician
1325,management
1326,management
1327,blue-collar
1328,management
1329,management
1330,management
1331,self-employed
1332,unemployed
1333,management
1334,management
1335,management
1336,management
1337,retired
1338,management
1339,management
1340,management
1341,admin.
1342,management
1343,housemaid
1344,management
1345,entrepreneur
1346,technician
1347,services
1348,management
1349,self-employed
1350,management
1351,blue-collar
1352,technician
1353,entrepreneur
1354,services
1355,admin.
1356,admin.
1357,management
1358,technician
1359,management
1360,management
1361,admin.
1362,admin.
1363,technician
1364,housemaid
1365,management
1366,services
1367,management
1368,technician
1369,unemployed
1370,management
1371,retired
1372,management
1373,retired
1374,student
1375,management
1376,student
1377,management
1378,admin.
1379,technician
1380,retired
1381,management
1382,management
1383,admin.
1384,retired
1385,student
1386,management
1387,management
1388,retired
1389,management
1390,admin.
1391,admin.
1392,blue-collar
1393,management
1394,technician
1395,self-employed
1396,admin.
1397,admin.
1398,management
1399,blue-collar
1400,admin.
1401,unknown
1402,management
1403,blue-collar
1404,blue-collar
1405,blue-collar
1406,self-employed
1407,entrepreneur
1408,technician
1409,management
1410,blue-collar
1411,management
1412,admin.
1413,blue-collar
1414,blue-collar
1415,self-employed
1416,unemployed
1417,blue-collar
1418,admin.
1419,technician
1420,blue-collar
1421,technician
1422,unemployed
1423,management
1424,technician
1425,admin.
1426,retired
1427,management
1428,admin.
1429,management
1430,student
1431,technician
1432,student
1433,services
1434,blue-collar
1435,admin.
1436,management
1437,blue-collar
1438,admin.
1439,technician
1440,technician
1441,services
1442,technician
1443,admin.
1444,admin.
1445,retired
1446,student
1447,management
1448,blue-collar
1449,management
1450,blue-collar
1451,technician
1452,blue-collar
1453,services
1454,blue-collar
1455,management
1456,technician
1457,management
1458,services
1459,self-employed
1460,management
1461,management
1462,management
1463,admin.
1464,student
1465,technician
1466,services
1467,admin.
1468,retired
1469,self-employed
1470,housemaid
1471,management
1472,retired
1473,housemaid
1474,unemployed
1475,admin.
1476,unemployed
1477,management
1478,services
1479,retired
1480,services
1481,technician
1482,admin.
1483,services
1484,blue-collar
1485,services
1486,blue-collar
1487,housemaid
1488,admin.
1489,technician
1490,management
1491,blue-collar
1492,unemployed
1493,management
1494,management
1495,blue-collar
1496,housemaid
1497,technician
1498,entrepreneur
1499,technician
1500,admin.
1501,technician
1502,services
1503,management
1504,blue-collar
1505,management
1506,blue-collar
1507,management
1508,technician
1509,management
1510,technician
1511,technician
1512,services
1513,technician
1514,management
1515,technician
1516,student
1517,services
1518,admin.
1519,retired
1520,blue-collar
1521,management
1522,management
1523,blue-collar
1524,admin.
1525,self-employed
1526,services
1527,management
1528,management
1529,blue-collar
1530,technician
1531,technician
1532,management
1533,technician
1534,technician
1535,management
1536,self-employed
1537,retired
1538,technician
1539,admin.
1540,technician
1541,technician
1542,technician
1543,entrepreneur
1544,technician
1545,management
1546,management
1547,management
1548,unknown
1549,blue-collar
1550,blue-collar
1551,retired
1552,retired
1553,blue-collar
1554,management
1555,blue-collar
1556,technician
1557,blue-collar
1558,retired
1559,technician
1560,self-employed
1561,retired
1562,management
1563,student
1564,admin.
1565,unemployed
1566,blue-collar
1567,retired
1568,management
1569,entrepreneur
1570,management
1571,technician
1572,services
1573,technician
1574,blue-collar
1575,blue-collar
1576,student
1577,blue-collar
1578,management
1579,student
1580,technician
1581,retired
1582,retired
1583,retired
1584,technician
1585,management
1586,retired
1587,unemployed
1588,student
1589,blue-collar
1590,self-employed
1591,retired
1592,unknown
1593,blue-collar
1594,admin.
1595,management
1596,technician
1597,student
1598,unknown
1599,technician
1600,admin.
1601,services
1602,retired
1603,retired
1604,management
1605,management
1606,management
1607,admin.
1608,student
1609,technician
1610,management
1611,management
1612,management
1613,retired
1614,management
1615,blue-collar
1616,management
1617,blue-collar
1618,services
1619,admin.
1620,services
1621,blue-collar
1622,management
1623,retired
1624,unemployed
1625,management
1626,blue-collar
1627,management
1628,technician
1629,technician
1630,admin.
1631,management
1632,retired
1633,self-employed
1634,admin.
1635,blue-collar
1636,blue-collar
1637,admin.
1638,technician
1639,technician
1640,management
1641,admin.
1642,unemployed
1643,retired
1644,services
1645,technician
1646,management
1647,management
1648,student
1649,unemployed
1650,retired
1651,technician
1652,retired
1653,blue-collar
1654,admin.
1655,student
1656,student
1657,blue-collar
1658,management
1659,management
1660,technician
1661,admin.
1662,technician
1663,management
1664,blue-collar
1665,blue-collar
1666,self-employed
1667,technician
1668,admin.
1669,technician
1670,blue-collar
1671,self-employed
1672,blue-collar
1673,student
1674,unknown
1675,management
1676,admin.
1677,management
1678,technician
1679,services
1680,retired
1681,management
1682,technician
1683,management
1684,management
1685,admin.
1686,technician
1687,blue-collar
1688,management
1689,management
1690,management
1691,services
1692,management
1693,admin.
1694,technician
1695,admin.
1696,management
1697,unemployed
1698,technician
1699,technician
1700,admin.
1701,management
1702,self-employed
1703,management
1704,self-employed
1705,technician
1706,management
1707,services
1708,student
1709,management
1710,management
1711,student
1712,admin.
1713,technician
1714,management
1715,management
1716,technician
1717,technician
1718,admin.
1719,management
1720,services
1721,student
1722,management
1723,entrepreneur
1724,blue-collar
1725,management
1726,technician
1727,management
1728,admin.
1729,admin.
1730,technician
1731,retired
1732,management
1733,management
1734,blue-collar
1735,blue-collar
1736,management
1737,retired
1738,admin.
1739,technician
1740,technician
1741,admin.
1742,management
1743,student
1744,management
1745,management
1746,blue-collar
1747,admin.
1748,blue-collar
1749,management
1750,unemployed
1751,management
1752,technician
1753,blue-collar
1754,student
1755,blue-collar
1756,technician
1757,technician
1758,management
1759,admin.
1760,technician
1761,admin.
1762,technician
1763,technician
1764,technician
1765,services
1766,student
1767,self-employed
1768,technician
1769,management
1770,management
1771,self-employed
1772,technician
1773,self-employed
1774,self-employed
1775,management
1776,blue-collar
1777,blue-collar
1778,management
1779,management
1780,management
1781,retired
1782,technician
1783,student
1784,management
1785,student
1786,entrepreneur
1787,technician
1788,blue-collar
1789,retired
1790,blue-collar
1791,services
1792,student
1793,blue-collar
1794,admin.
1795,management
1796,management
1797,blue-collar
1798,self-employed
1799,management
1800,services
1801,blue-collar
1802,technician
1803,admin.
1804,admin.
1805,technician
1806,self-employed
1807,technician
1808,technician
1809,management
1810,entrepreneur
1811,blue-collar
1812,admin.
1813,management
1814,admin.
1815,management
1816,admin.
1817,admin.
1818,blue-collar
1819,management
1820,management
1821,management
1822,management
1823,management
1824,management
1825,management
1826,management
1827,management
1828,blue-collar
1829,admin.
1830,management
1831,management
1832,services
1833,admin.
1834,blue-collar
1835,services
1836,technician
1837,admin.
1838,blue-collar
1839,technician
1840,management
1841,admin.
1842,blue-collar
1843,housemaid
1844,blue-collar
1845,unemployed
1846,blue-collar
1847,admin.
1848,services
1849,technician
1850,blue-collar
1851,admin.
1852,technician
1853,admin.
1854,blue-collar
1855,management
1856,management
1857,blue-collar
1858,management
1859,management
1860,technician
1861,technician
1862,blue-collar
1863,admin.
1864,retired
1865,retired
1866,management
1867,self-employed
1868,self-employed
1869,admin.
1870,management
1871,services
1872,services
1873,blue-collar
1874,services
1875,management
1876,services
1877,blue-collar
1878,student
1879,management
1880,blue-collar
1881,admin.
1882,entrepreneur
1883,admin.
1884,housemaid
1885,blue-collar
1886,admin.
1887,blue-collar
1888,entrepreneur
1889,services
1890,blue-collar
1891,admin.
1892,blue-collar
1893,management
1894,admin.
1895,blue-collar
1896,services
1897,blue-collar
1898,blue-collar
1899,admin.
1900,services
1901,blue-collar
1902,blue-collar
1903,blue-collar
1904,admin.
1905,admin.
1906,technician
1907,services
1908,services
1909,management
1910,self-employed
1911,admin.
1912,blue-collar
1913,blue-collar
1914,blue-collar
1915,blue-collar
1916,admin.
1917,blue-collar
1918,blue-collar
1919,blue-collar
1920,housemaid
1921,blue-collar
1922,management
1923,blue-collar
1924,blue-collar
1925,housemaid
1926,technician
1927,blue-collar
1928,admin.
1929,blue-collar
1930,blue-collar
1931,management
1932,management
1933,management
1934,management
1935,blue-collar
1936,admin.
1937,admin.
1938,services
1939,services
1940,blue-collar
1941,student
1942,management
1943,blue-collar
1944,services
1945,blue-collar
1946,blue-collar
1947,technician
1948,management
1949,blue-collar
1950,services
1951,blue-collar
1952,technician
1953,blue-collar
1954,admin.
1955,blue-collar
1956,blue-collar
1957,blue-collar
1958,admin.
1959,management
1960,self-employed
1961,blue-collar
1962,management
1963,services
1964,blue-collar
1965,admin.
1966,admin.
1967,management
1968,blue-collar
1969,admin.
1970,blue-collar
1971,management
1972,blue-collar
1973,admin.
1974,self-employed
1975,admin.
1976,management
1977,blue-collar
1978,blue-collar
1979,blue-collar
1980,services
1981,management
1982,blue-collar
1983,admin.
1984,retired
1985,blue-collar
1986,services
1987,blue-collar
1988,admin.
1989,management
1990,admin.
1991,services
1992,retired
1993,technician
1994,services
1995,services
1996,services
1997,retired
1998,services
1999,services
2000,services
2001,blue-collar
2002,blue-collar
2003,blue-collar
2004,admin.
2005,admin.
2006,housemaid
2007,technician
2008,services
2009,management
2010,admin.
2011,blue-collar
2012,technician
2013,blue-collar
2014,blue-collar
2015,management
2016,student
2017,services
2018,entrepreneur
2019,unemployed
2020,technician
2021,services
2022,services
2023,entrepreneur
2024,retired
2025,student
2026,management
2027,admin.
2028,admin.
2029,blue-collar
2030,entrepreneur
2031,admin.
2032,admin.
2033,management
2034,admin.
2035,blue-collar
2036,management
2037,management
2038,admin.
2039,blue-collar
2040,self-employed
2041,services
2042,blue-collar
2043,blue-collar
2044,management
2045,services
2046,blue-collar
2047,blue-collar
2048,technician
2049,services
2050,blue-collar
2051,management
2052,admin.
2053,services
2054,technician
2055,admin.
2056,blue-collar
2057,technician
2058,blue-collar
2059,blue-collar
2060,blue-collar
2061,management
2062,blue-collar
2063,services
2064,blue-collar
2065,admin.
2066,technician
2067,retired
2068,blue-collar
2069,housemaid
2070,blue-collar
2071,services
2072,blue-collar
2073,admin.
2074,entrepreneur
2075,technician
2076,blue-collar
2077,blue-collar
2078,blue-collar
2079,blue-collar
2080,blue-collar
2081,technician
2082,blue-collar
2083,management
2084,self-employed
2085,technician
2086,services
2087,admin.
2088,unemployed
2089,blue-collar
2090,admin.
2091,management
2092,technician
2093,admin.
2094,services
2095,management
2096,technician
2097,management
2098,services
2099,technician
2100,student
2101,management
2102,management
2103,student
2104,services
2105,management
2106,management
2107,blue-collar
2108,management
2109,management
2110,admin.
2111,retired
2112,technician
2113,blue-collar
2114,student
2115,technician
2116,technician
2117,management
2118,technician
2119,blue-collar
2120,retired
2121,management
2122,admin.
2123,services
2124,services
2125,technician
2126,technician
2127,technician
2128,technician
2129,student
2130,technician
2131,technician
2132,student
2133,technician
2134,management
2135,management
2136,technician
2137,management
2138,retired
2139,management
2140,retired
2141,student
2142,student
2143,student
2144,student
2145,management
2146,admin.
2147,admin.
2148,self-employed
2149,admin.
2150,admin.
2151,admin.
2152,admin.
2153,admin.
2154,admin.
2155,admin.
2156,technician
2157,retired
2158,management
2159,admin.
2160,admin.
2161,student
2162,management
2163,admin.
2164,management
2165,management
2166,unemployed
2167,management
2168,technician
2169,housemaid
2170,blue-collar
2171,management
2172,admin.
2173,management
2174,admin.
2175,technician
2176,technician
2177,management
2178,technician
2179,management
2180,technician
2181,blue-collar
2182,services
2183,management
2184,services
2185,management
2186,self-employed
2187,unemployed
2188,student
2189,admin.
2190,management
2191,blue-collar
2192,management
2193,management
2194,admin.
2195,management
2196,admin.
2197,management
2198,management
2199,unemployed
2200,blue-collar
2201,technician
2202,admin.
2203,services
2204,technician
2205,admin.
2206,services
2207,technician
2208,technician
2209,admin.
2210,student
2211,technician
2212,services
2213,blue-collar
2214,blue-collar
2215,technician
2216,entrepreneur
2217,blue-collar
2218,management
2219,technician
2220,technician
2221,technician
2222,unemployed
2223,technician
2224,self-employed
2225,admin.
2226,entrepreneur
2227,management
2228,blue-collar
2229,management
2230,blue-collar
2231,admin.
2232,technician
2233,management
2234,student
2235,admin.
2236,management
2237,management
2238,technician
2239,management
2240,admin.
2241,blue-collar
2242,management
2243,retired
2244,unemployed
2245,blue-collar
2246,blue-collar
2247,blue-collar
2248,management
2249,management
